VendorName,TotalPurchaseDollars,GrossProfit,TotalSalesDollars,Purchase_Contribution%
ADAMBA IMPORTS INTL INC,446.16,258.3700000000003,704.5300000000003,0.0001451688574829164
ALISA CARR BEVERAGES,25698.12,78772.81999999996,104470.93999999996,0.008361499730721901
ALTAMAR BRANDS LLC,11706.200000000008,4000.6099999999415,15706.809999999949,0.003808892952004925
AMERICAN SPIRITS EXCHANGE,934.08,577.0800000000003,1511.1600000000003,0.000303925332610818
AMERICAN VINTAGE BEVERAGE,104435.6799999992,35167.85000000177,139603.530000001,0.033980653456274316
ATLANTIC IMPORTING COMPANY,41116.31999999975,18156.43000000027,59272.75000000002,0.013378180917836538
BACARDI USA INC,17432020.260000072,7422796.8799992455,24854817.13999932,5.671925911698184
BANFI PRODUCTS CORP,1608143.7199999988,1023941.410000012,2632085.130000011,0.5232481318377417
BLACK PRINCE DISTILLERY INC,5854.94,5746.2599999999375,11601.199999999937,0.0019050451641362436
BLACK ROCK SPIRITS LLC,1152.0999999999997,897.0800000000006,2049.1800000000003,0.0003748633689843732
BRONCO WINE COMPANY,1748.26,468.84000000000026,2217.1000000000004,0.0005688383243300239
BROWN-FORMAN CORP,13238939.180000108,5008291.469999661,18247230.64999977,4.3076064081191365
BULLY BOY DISTILLERS,53798.63999999999,12158.090000000018,65956.73000000001,0.01750467792481335
CALEDONIA SPIRITS INC,221250.02000000188,24504.93999999733,245754.9599999992,0.07198900085501317
CAMPARI AMERICA,4052963.6799999652,1483133.2899998142,5536096.969999779,1.3187289466679024
CANDIA VINEYARDS,36588.009999999995,16035.319999999634,52623.32999999962,0.011904786644417966
CAPSTONE INTERNATIONAL,54.64,192.22999999999996,246.86999999999998,1.7778434581465288e-05
CASTLE BRANDS CORP.,1626446.2299999807,642718.0099999434,2269164.2399999243,0.5292032924656936
CENTEUR IMPORTS LLC,4292.83,1266.520000000001,5559.350000000001,0.001396775207253873
CHARLES JACQUIN ET CIE INC,325229.0199999999,120791.39000000687,446020.4100000068,0.10582106251947408
CONSTELLATION BRANDS INC,15273708.080000008,8945037.569999097,24218745.649999104,4.969667275195422
CRUSH WINES,220914.00000000003,149647.89000000028,370561.8900000003,0.07187966868832033
Circa Wines,21538.53,9054.479999999996,30593.009999999995,0.007008077353329567
DELICATO VINEYARDS INC,1494318.8899999952,812223.4900000413,2306542.3800000367,0.4862124932231467
DIAGEO CHATEAU ESTATE WINES,1279691.730000002,835310.3800000153,2115002.110000017,0.4163783987234109
DIAGEO NORTH AMERICA INC,50097226.15999999,17892873.259998254,67990099.41999824,16.30033415077656
DISARONNO INTERNATIONAL LLC,1141947.8500000082,583311.37999988,1725259.229999888,0.3715601234749283
DJINN SPIRITS LLC,38735.32999999997,11036.00000000011,49771.33000000008,0.012603468711502
DUGGANS DISTILLED PRODUCTS,133190.3399999994,26073.07000000497,159263.41000000437,0.04333667178940536
Dunn Wine Brokers,58381.75000000006,10451.000000000155,68832.75000000022,0.01899590269265121
E & J GALLO WINERY,12068539.220000047,6331360.239999761,18399899.459999807,3.926788708210449
EDRINGTON AMERICAS,1878614.1800000025,643664.1699999295,2522278.349999932,0.611252183436001
FABRIZIA SPIRITS LLC,169240.00000000012,62833.570000003136,232073.57000000327,0.055066293348594204
FANTASY FINE WINES CORP,128.64,198.9500000000001,327.5900000000001,4.1856109527080785e-05
FLAG HILL WINERY & VINEYARD,300403.19999999995,111403.92000000214,411807.1200000021,0.09774338651652328
FLAVOR ESSENCE INC,17.0,1457.4100000000003,1474.4100000000003,5.531357757776535e-06
FORTUNE WINE BROKERS LLC,39273.75000000003,28981.340000000244,68255.09000000027,0.012778656572910375
FREDERICK WILDMAN & SONS,602133.6800000005,419400.19000000606,1021533.8700000066,0.19591863541685509
FULCHINO VINEYARD INC,11147.769999999997,3293.8699999999144,14441.639999999912,0.0036271943571416767
HAUNTING WHISPER VYDS,5388.579999999998,1937.3099999999667,7325.889999999965,0.0017533037521411453
HEAVEN HILL DISTILLERIES,2644130.099999991,1024598.4099998977,3668728.5099998885,0.8603311494826703
HIGHLAND WINE MERCHANTS LLC,775.44,219.03000000000003,994.47,0.0002523080035111904
"HOOD RIVER DISTILLERS, Inc.",24035.96,5344.8399999999565,29380.799999999956,0.007820676106565087
INCREDIBREW INC,24525.840000000015,10982.679999999693,35508.519999999706,0.007980070314705066
"IRA GOLDMAN AND WILLIAMS, LLP",190.88,474.94000000000005,665.82,6.210738640025793e-05
JEWELL TOWNE VINEYARDS,54332.369999999995,30898.449999999488,85230.81999999948,0.01767833978222853
JIM BEAM BRANDS COMPANY,23494304.32000004,7928716.139998557,31423020.4599986,7.644435439058528
KLIN SPIRITS LLC,103484.28999999916,44191.650000006695,147675.94000000585,0.03367109589997012
KOBRAND CORPORATION,1741559.4700000004,1049960.2400000214,2791519.710000022,0.5666581461772761
LABELLE VYDS AND WINERY,135621.04999999993,63306.660000000455,198927.71000000037,0.0441275615903117
LAIRD & CO,96527.28000000032,39550.77999999957,136078.05999999988,0.03140746582735703
LATITUDE BEVERAGE COMPANY,309146.24000000017,157766.56000000463,466912.8000000048,0.10058814428890867
LUXCO INC,1862411.0100000037,844081.9199999974,2706492.930000001,0.6059800934312913
M S WALKER INC,9764312.59999999,4942145.909999873,14706458.509999862,3.177053308786183
MAJESTIC FINE WINES,3505853.1099999817,1868978.1999998568,5374831.3099998385,1.1407133998601995
MANGO BOTTLING INC,204510.38000000053,37781.12999999825,242291.50999999876,0.06654235746816647
MARSALLE COMPANY,164034.5300000001,38882.86000000169,202917.39000000176,0.053372568826984004
MARTIGNETTI COMPANIES,25502095.82999994,13828263.529999899,39330359.359999835,8.29771856522534
MCCORMICK DISTILLING CO,254630.9400000009,84297.9400000011,338928.880000002,0.08285028384346685
MHW LTD,1600532.869999994,735640.4400000105,2336173.3100000047,0.5207717592382829
MILTONS DISTRIBUTING CO,1432.32,817.3199999999999,2249.64,0.0004660396672716757
MOET HENNESSY USA INC,9250580.360000007,4105873.3199995817,13356453.679999588,3.0098982022483107
MOONLIGHT MEADERY,71357.58999999994,23851.179999999727,95208.76999999967,0.0232179034719257
NICHE W & S,59780.96999999987,30935.659999999036,90716.62999999891,0.019451172480994445
OLE SMOKY DISTILLERY LLC,387622.6900000004,110979.95000000439,498602.64000000485,0.12612233961304184
PALM BAY INTERNATIONAL INC,2546769.049999997,1369284.969999939,3916054.019999936,0.8286523965872152
PARK STREET IMPORTS LLC,46238.94999999993,10017.810000000529,56256.76000000046,0.015044951458467114
PERFECTA WINES,4619722.660000006,2545958.9899999998,7165681.650000006,1.5031375749510048
PERNOD RICARD USA,23851164.170000136,8212032.019998698,32063196.18999883,7.760548350807764
PHILLIPS PRODUCTS CO.,329509.31999999733,192432.38000000222,521941.69999999955,0.10721376079068565
PINE STATE TRADING CO,2865890.0400000033,1614168.9800000226,4480059.020000026,0.9324860650405014
POVERTY LANE ORCHARDS,45269.00999999997,28373.08000000056,73642.09000000053,0.014729358214727258
PREMIER DISTRIBUTORS,80378.96000000015,24777.95999999983,105156.91999999998,0.02615322258576533
"PREMIUM PORT WINES, INC.",59760.74000000021,26297.01999999991,86057.76000000013,0.0194445901652628
PROXIMO SPIRITS INC.,7331096.339999955,2960378.3599994173,10291474.699999373,2.3853480360744657
PSP WINES,117552.55000000006,48735.829999999616,166288.37999999968,0.03824854172875967
R.P.IMPORTS INC,18425.329999999998,32388.279999999988,50813.609999999986,0.005995123060887807
REMY COINTREAU USA INC,3130918.4899999886,997660.4999998233,4128578.989999812,1.0187194281545549
Russian Standard Vodka,72927.58000000003,39396.859999999615,112324.43999999965,0.023728737375815826
SAZERAC CO INC,9714369.069999952,3385031.859999389,13099400.929999342,3.160802983367568
SAZERAC NORTH AMERICA INC.,3504979.060000003,1437068.0499998573,4942047.10999986,1.14042900672796
SEA BREEZE CELLARS LLC,78426.74000000008,50854.60000000019,129281.34000000026,0.025518020983301394
SEA HAGG DISTILLERY LLC,114125.73999999982,26801.81000000399,140927.5500000038,0.03713354690064628
SHAW ROSS INT L IMP LTD,596584.9999999966,244104.5800000051,840689.5800000017,0.19411323928959384
SIDNEY FRANK IMPORTING CO,1715908.8799999862,540462.369999827,2256371.2499998133,0.5583121114720923
SILVER MOUNTAIN CIDERS,77.17999999999999,265.3300000000002,342.5100000000002,2.511236422030547e-05
SMOKY QUARTZ DISTILLERY LLC,26076.350000000006,6708.359999999812,32784.70999999982,0.008484565933352716
SOUTHERN GLAZERS W&S OF NE,27041.63999999999,7689.430000000254,34731.07000000024,0.008798646188058834
SOUTHERN WINE & SPIRITS NE,3430367.4199999967,2110612.9799999776,5540980.399999974,1.1161523200376975
STAR INDUSTRIES INC.,2452.29,5418.469999999966,7870.759999999965,0.0007979113715186951
STATE WINE & SPIRITS,1455770.9900000033,790073.5800000072,2245844.5700000105,0.47367000935779674
STE MICHELLE WINE ESTATES,3072111.1499999994,1817809.1700000225,4889920.320000022,0.9995850495473111
STELLAR IMPORTING CO LLC,23529.16000000001,11326.589999999784,34855.74999999979,0.007655776570586199
"STOLI GROUP,(USA) LLC",3405741.880000019,1113486.219999649,4519228.099999668,1.1081398099366204
SURVILLE ENTERPRISES CORP,42954.479999999996,29872.169999999525,72826.64999999951,0.013976270363485704
SWEET BABY VINEYARD,140577.89999999994,43675.37000000123,184253.27000000118,0.04574039163158433
SWEETWATER FARM,19716.409999999996,2095.5999999999194,21812.009999999915,0.006415206906411931
Serralles Usa LLC,135637.1500000007,58296.07000000616,193933.22000000684,0.04413280011148255
TAKARA SAKE USA INC,45289.34000000031,18793.630000001736,64082.970000002046,0.014735973067857695
